Method,gt,taxa,dup,ils,loss,Error
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0555555555555555
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0757575757575757
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0202020202020202
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0757575757575757
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0202020202020202
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0505050505050505
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,3.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0757575757575757
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0555555555555555
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0555555555555555
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0555555555555555
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0858585858585858
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0808080808080808
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0656565656565656
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0757575757575757
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.1969696969696969
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0808080808080808
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0505050505050505
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.101010101010101
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0707070707070707
wQFM-GDL-T,1000,200,0.0,70.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.005050505050505
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0707070707070707
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0252525252525252
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0252525252525252
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0505050505050505
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0303030303030303
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0101010101010101
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0202020202020202
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.005050505050505
wQFM-GDL-T,1000,200,1.0,25.0,1.0,0.0404040404040404
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.101010101010101
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0252525252525252
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0858585858585858
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0303030303030303
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0505050505050505
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0101010101010101
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0505050505050505
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0151515151515151
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0252525252525252
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0404040404040404
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0353535353535353
wQFM-GDL-T,1000,200,1.0,70.0,0.1,0.0454545454545454
wQFM-GDL-T,1000,200,0.25,70.0,0.1,0.0808080808080808
wQFM-GDL-T,1000,200,0.25,70.0,0.1,0.0252525252525252
wQFM-GDL-T,1000,200,0.25,70.0,0.1,0.0505050505050505
wQFM-GDL-T,1000,200,0.25,70.0,0.1,0.0707070707070707
